ID	BARCODE	PRIMER	ERROR
M05295:78:000000000-BJNBT:1:1102:11772:1910		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:10180:1910		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:18336:1910		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:11262:1912		IGH.forP4.2_12N	0.5
M05295:78:000000000-BJNBT:1:1102:8444:1911		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:17607:1908		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:19804:1915		IGH.forP4.1_12N	0.47058823529411764
M05295:78:000000000-BJNBT:1:1102:10882:1908		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:20622:1908		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:13500:1913		IGH.forP4.1_12N	0.5294117647058824
M05295:78:000000000-BJNBT:1:1102:14129:1912		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:17724:1913		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:8757:1908		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:9463:1907		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:9831:1914		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:22944:1914		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:20499:1912		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:22301:1914		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:9657:1912		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:12013:1918		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:12821:1910		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:10718:1914		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:16158:1913		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:20316:1916		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:20639:1910		IGH.forP135_08N	0.052631578947368474
M05295:78:000000000-BJNBT:1:1102:13416:1916		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:20057:1918		IGH.forP4.1_12N	0.6470588235294117
M05295:78:000000000-BJNBT:1:1102:20860:1914		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:10981:1919		IGH.forP4.1_12N	0.47058823529411764
M05295:78:000000000-BJNBT:1:1102:21814:1916		IGH.forP4.1_12N	0.4117647058823529
M05295:78:000000000-BJNBT:1:1102:16141:1916		IGH.forP4.2_12N	0.6111111111111112
M05295:78:000000000-BJNBT:1:1102:13652:1915		IGH.forP6_12N	0.4444444444444444
M05295:78:000000000-BJNBT:1:1102:9225:1918		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:12838:1919		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:12750:1917		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:14338:1921		IGH.forP1_08N	0.6470588235294117
M05295:78:000000000-BJNBT:1:1102:14031:1917		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:14965:1921		IGH.forP4.1_12N	0.5882352941176471
M05295:78:000000000-BJNBT:1:1102:21280:1918		IGH.forP4.2_12N	0.11111111111111116
M05295:78:000000000-BJNBT:1:1102:18216:1918		IGH.forP1_08N	0.7058823529411764
M05295:78:000000000-BJNBT:1:1102:7519:1915		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:10259:1919		IGH.forP4.2_12N	0.5
M05295:78:000000000-BJNBT:1:1102:13984:1921		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:9198:1920		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:11433:1920		IGH.forP4.1_12N	0.47058823529411764
M05295:78:000000000-BJNBT:1:1102:10027:1917		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:12120:1915		IGH.forP2_08N	0.0
M05295:78:000000000-BJNBT:1:1102:14312:1921		IGH.forP4.1_12N	0.5882352941176471
M05295:78:000000000-BJNBT:1:1102:7925:1920		IGH.forP4.2_12N	0.5
M05295:78:000000000-BJNBT:1:1102:13860:1918		IGH.forP4.1_12N	0.11764705882352944
M05295:78:000000000-BJNBT:1:1102:13051:1922		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:16305:1918		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:11371:1921		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:14590:1918		IGH.forP4.1_12N	0.7058823529411764
M05295:78:000000000-BJNBT:1:1102:9364:1921		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:13355:1921		IGH.forP2_08N	0.5789473684210527
M05295:78:000000000-BJNBT:1:1102:13966:1920		IGH.forP4.2_12N	0.4444444444444444
M05295:78:000000000-BJNBT:1:1102:10806:1922		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:7730:1920		IGH.forP1_08N	0.6470588235294117
M05295:78:000000000-BJNBT:1:1102:13170:1920		IGH.forP4.2_12N	0.5
